Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
4438536.937786622,3085403.903508605,3376938.435060013,32.16670230776335,34.80470319700687,1586.8688293853775
4434962.06640463,3084226.3454588414,3374381.900230741,32.16450443199266,34.81608999303596,-2827.8229289790615
4439099.880475213,3086224.983259659,3377297.726446856,32.164976456338906,34.80844279063832,2566.1637699194252
4435063.317915978,3084401.0151327327,3374450.86717271,32.16415294241704,34.816997799121424,-2636.318252074532
4436895.187962252,3085311.0287732277,3376332.441847921,32.16880246583925,34.813829711825655,78.31220992095768
4436859.787447062,3085277.337686516,3376307.1990735326,32.16884167107952,34.81375072324593,23.988611107692122
4435644.987578522,3083518.7160143545,3375071.864960318,32.16902074899143,34.80579285340288,-2327.814175441861
4436872.856654194,3085287.356050163,3376325.2550093094,32.16890052209003,34.81375882171954,47.52594458684325
4436880.702632094,3085288.7107172264,3376330.565399318,32.16890641746764,34.81372312258009,56.46068827062845
4436888.682226175,3085288.716610021,3376321.4162771534,32.168805106871666,34.81367487436203,57.137997936457396
4436876.87545893,3085286.167260834,3376318.1143632587,32.168833430845986,34.81372414847669,45.942605536431074
4435670.710286509,3085270.654551045,3375070.7660863874,32.16410758343548,34.820891229085085,-1463.8571551069617
4435074.7241933495,3084400.542240982,3374453.127220248,32.16412652555799,34.816924609478114,-2627.416533785872
4435675.594970452,3085277.346866476,3375070.955212176,32.16407142268377,34.8209199108873,-1457.1269517587498
4435660.689463697,3085258.1745860223,3375064.6127832346,32.16413431917069,34.82084326329762,-1480.1293349368498
4436886.458427837,3085296.781610859,3376319.999395427,32.16878095022978,34.81375853653313,58.735687555745244
4436884.123468203,3085286.9185769064,3376322.6684364057,32.16883756394797,34.813686816956015,53.767524127848446
4436887.397127588,3085285.706649804,3376329.4456679975,32.16887971537989,34.81365645267118,59.06525662355125
4436902.02235448,3085279.4682255127,3376338.9769665287,32.16891192101313,34.81351362583568,71.28922503069043
4436886.931285644,3085272.4592545307,3376316.5087452047,32.16881911008104,34.81354396006802,45.451690020971
4436904.354170851,3085268.3040246535,3376322.9512878167,32.16881099950506,34.81340233268851,58.98220757488161
4436898.503224562,3085262.3941588565,3376322.4088218906,32.16884612187731,34.81338630481501,51.77111115306616
4436891.574308546,3085249.5907270988,3376310.0637342744,32.168814294037304,34.813316796147845,34.195866716094315
4434495.568552569,3085022.068346964,3375338.5950352782,32.17146745298623,34.82584380803705,-2258.034187251702
4434500.724957016,3085015.1672774116,3375336.7973394794,32.171452324240555,34.825752490159,-2258.744410397485
4436923.042498886,3085231.3962491346,3376322.0509879543,32.16883162531242,34.812967950038086,53.654818926006556
4436927.906249026,3085220.5546485675,3376321.57603679,32.16883854439252,34.812844139165776,51.54288928024471
4436932.262011586,3085215.1594855324,3376322.949551291,32.16884664722834,34.812770812058915,52.69410404190421
4436933.5206649285,3085207.733310373,3376317.704111466,32.16882199999366,34.81269855174266,47.18736175540835
4436937.341605447,3085196.0661594723,3376324.062645944,32.16888745575806,34.81257386636023,47.59005443286151
4436936.713833473,3085194.2984186495,3376312.739806113,32.16880834296294,34.81256227853043,40.27140356134623
4435813.182421478,3085293.0418349053,3375186.7002116335,32.164369808060016,34.820223451827644,-1292.307364041917
4436944.744618899,3085181.6446372494,3376323.6872474146,32.16889493730826,34.81240352373052,45.56594708189368
4435751.852738034,3085162.335593477,3375072.505585673,32.16409799322726,34.81945694803266,-1458.8988466924056
4435754.623843125,3085152.3203462404,3375069.304646561,32.16409008752692,34.819352981383645,-1463.5180109394714
4436952.714653056,3085173.483690736,3376316.9607270905,32.16883454197371,34.81228424528433,43.580315405502915
4436951.288484694,3085167.7285908535,3376327.783825308,32.16893855666842,34.81224278111253,45.570012643001974
4435555.976867002,3084960.2958098385,3376385.122943262,32.17544601594151,34.81888406247337,-993.7915638899431
4434951.4907974955,3085023.299357363,3375110.336955392,32.16792344580222,34.82309315383761,-2062.160914292559
4436969.896735607,3085160.029718098,3376321.8461912475,32.16884098090007,34.81206313554331,51.62073571421206
4436972.226697634,3085151.0355427777,3376315.6771687884,32.16880935784883,34.811970741597044,45.60915389470756
4436976.148788204,3085150.9811285203,3376316.0099183507,32.16879658621586,34.81194652901469,48.48582611978054
4436980.102177128,3085134.339027149,3376300.6489073783,32.168709358996246,34.81177773597836,35.01308983750641
4436977.858601309,3085129.917321747,3376310.5956584723,32.168806251568796,34.81175282567806,36.61288322415203
4436986.927948707,3085123.3761344985,3376305.538856167,32.16874982812663,34.81164099331957,37.06270734779537
4435795.034919791,3085092.874743829,3375059.6331244623,32.164019919949226,34.81859079213527,-1469.3156230263412
4437012.795961301,3085113.11848581,3376316.1531337807,32.16875699606323,34.81139513567481,55.73473674431443
4437014.026413342,3085098.0648919246,3376308.9686648794,32.16873856370707,34.81125665045506,45.49032115191221
4437024.297678205,3085090.6477379776,3376319.5766755133,32.16879938022974,34.81112991898979,54.692429995164275
4437018.532985831,3085080.4909157073,3376311.691220743,32.1687897501643,34.81107639672569,41.57991202548146
4437030.470437155,3085071.696537275,3376318.4081792138,32.168818070796256,34.81092759224404,49.2024973584339
4437035.75937899,3085076.0683862176,3376318.775529389,32.16878804299032,34.810933637224714,55.18649576883763
4437031.986644631,3085074.8152949056,3376314.2960051014,32.16877215538789,34.810945563633695,49.57395616173744
4437034.256784107,3085067.232482878,3376323.559365238,32.16885470193356,34.810865816791015,52.4193988321349
4437026.563872533,3085060.37949896,3376298.7717297846,32.16871459444641,34.81085272379306,30.564231431111693
4437056.144185682,3085073.032318444,3376316.241189289,32.16869666127437,34.810783831157586,66.53745084628463
4437048.661440325,3085066.3754049526,3376316.086133449,32.16874322060093,34.81077117279578,58.03757344931364
4437058.147752279,3085073.662538556,3376318.5645273123,32.168704770985315,34.81077719067493,69.47144679259509
4437057.443723283,3085071.301063596,3376305.054208919,32.16861088790222,34.81076089560894,60.647935894317925
4437057.297681989,3085079.191451583,3376289.6635770984,32.16847235259084,34.81083046363104,56.16517250332981
4437059.56018806,3085063.4493926973,3376283.670295486,32.168460830739285,34.810679738698404,46.93966807797551
4437064.2090903325,3085071.0150028057,3376277.387084574,32.168373805435145,34.810717458763555,50.481359905563295
4437085.823148221,3085076.47329766,3376287.354140861,32.16834972641788,34.81063415546506,73.44735035207123
4437086.329788862,3085064.3094375045,3376283.650860999,32.16835279933026,34.81052520545419,65.94986391067505
4437089.3843902815,3085071.5897676614,3376266.2450212636,32.168187936124596,34.81057009156974,62.32389875035733
4437069.462337984,3085060.05829853,3376229.9992882195,32.168021390088505,34.810590288191335,23.60840019956231
